filename,body
00000.eml,"daren . . have you had a chance to look at this yet ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by kimberly vaughn / hou / ect on 03 / 01 / 2000
03 : 47 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack on 02 / 29 / 2000 08 : 29 am
to : kimberly vaughn / hou / ect @ ect
cc : megan parker / corp / enron @ enron
subject : re : meter 986315 torch rally / el sordo 1 / 00
kim ,
have you received a response on this yet ?
kimberly vaughn
02 / 22 / 2000 04 : 21 pm
to : daren j farmer / hou / ect @ ect , sherlyn schumack / hou / ect @ ect
cc :
subject : meter 986315 torch rally / el sordo 1 / 00
sheryln , i ' m forwarding this to daren to get your answer . . . daren , deal
141186 ( el sordo ) volume 102 . . . . deal 138605 ( torch ) volume 343 . . . megan
parker thinks that all of this volume should be under torch . . . what do you
think ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by kimberly vaughn / hou / ect on 02 / 22 / 2000
03 : 17 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 02 / 22 / 2000 01 : 15 pm
to : kimberly vaughn / hou / ect @ ect
cc : megan parker / corp / enron @ enron
subject : meter 986315 torch rally / el sordo 1 / 00
kim ,
have you looked at this yet ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by sherlyn schumack / hou / ect on 02 / 22 / 2000
01 : 12 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : megan parker @ enron 02 / 22 / 2000 01 : 00 pm
to : sherlyn schumack / hou / ect @ ect
cc :
subject : meter 986315 torch rally / el sordo 1 / 00
have you heard anything on this yet ? i need to pay it by thursday .
megan
- - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 02 / 22 / 2000
12 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : megan parker 02 / 17 / 2000 10 : 42 am
to : sherlyn schumack / hou / ect @ ect
cc :
subject : meter 986315 torch rally / el sordo 1 / 00
i have a volume issue with meter 986315 for 1 / 00 production . the volume has
been split between el sordo and torch rally . i think all of the volume
should be under torch rally . please let me know if you find something
different . the old months have already been corrected .
thanks ,
megan"
00001.eml,"dear expedia . com traveler
now you can save two ways with the latest united airlines
fare sale and this special offer from expedia . comc . book a
united ticket on expedia . com now and you ' ll save - - plus
we ' ll give you a reward for 30 % off a future united flight
to most anywhere in the u . s . ! *
you ' ve got until september 22 to take advantage of the
latest united fare sale . and if you book a united ticket
with expedia . com , we ' ll give you a reward for 30 % off your
next flight . if you miss the fare sale , don ' t worry - - book
a united ticket before october 31 and you ' ll still qualify
for the reward . click here for more details of this offer :
so book your united ticket with expedia . com now and you can
turn a trip today into big savings on a winter getaway .
how does florida sound in january ? or phoenix in
february ? disneyland ? start your planning now and be sure
to book soon .
expedia . com travel team
don ' t just travel . travel right .
p . s . one last thing : this offer is available to everyone ,
but only on expedia . com . so be sure to forward this e - mail
to anyone you think might like to get away and save money
at the same time !
* qualifying purchase must occur on expedia . com as a u . s .
point of sale and a minimum base fare of $ 150 per ticket is
required . qualifying nonrefundable roundtrip tickets may be
international or domestic flights on united airlines ,
united shuttle , or united express ( no code share or star
alliance flights ) .
qualifying tickets must be purchased on expedia . com between
12 : 01 am ( est ) september 12 , 2000 through 11 : 59 pm ( est )
october 31 , 2000 . qualifying travel must occur september
12 , 2000 through december 15 , 2000 .
reward travel must be purchased on expedia . com between
12 : 01 am ( est ) november 15 , 2000 through 11 : 59 pm ( est )
december 31 , 2000 . passenger must commence reward travel on
or after december 1 , 2000 and complete all travel on or
before february 28 , 2001 . reward is valid only on
roundtrip tickets within the 48 contiguous united states ,
alaska , and canada , ( hawaii , puerto rico & u . s . virgin
islands are excluded ) .
blackout dates apply . reward travel is not permitted on
these dates : dec 21 , 22 , 23 , 26 , 27 , 30 . mileage plus
blackout dates may also apply .
additional restrictions apply . for more details , click here :
about this mailing : you are receiving this e - mail
because you are a registered member of expedia . com ( r ) .
your expedia ( r ) membership is free and your privacy
and credit card security are guaranteed .
if you do not wish to receive any further promotional
e - mails from us , please reply to this mail
with "" unsubscribe "" in the subject line .
forget your user name or password ? click here :
questions about your privacy ? read our privacy statement :
questions about your credit card security ?
read our credit card guarantee statement :
if you have other questions , visit the expedia . com service
center :
we ' re sorry , but we cannot reply to responses to this
e - mail . if you ' d like to give us feedback , click here :
, 2000 expedia , inc . expedia , expedia . com , the airplane
logo , and "" don ' t just travel . travel right . "" are either
registered trademarks or trademarks of expedia , inc .
in the united states and / or other countries . all rights
reserved . other company and product names mentioned
herein may be trademarks of their respective owners .
expedia terms of use :
this email was sent to : dfarmer @ ect . enron . com"
00002.eml,"[ILUG] Hayes Accura ISDN PCIDoes anyone know if this is supported under 2.4.18 kernels or higher?

I need to buy an ISDN TA quick, and PC World have these in stock for 65.

Thanks,
	David.

David Hamilton
Senior Technical Consultant
HP Ireland 

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie"
00003.eml,"Dawn raids stoke fires of resentmentURL: http://www.newsisfree.com/click/-2,8655713,215/
Date: 2002-10-08T03:30:53+01:00

*Afghanistan: *In his final report one year from the beginning of the US 
campaign *Rory McCarthy* finds mounting anger at the military presence."
00004.eml,"> On 2010-04-15 04:56, John A. Sullivan III wrote:
> > Hello, all.  We've installed acroread 8.1.7-0.1 from debian-multimedia.
> > It is not seeing any of the printers on our cups print server.  It just
> > shows the custom lpr printer.  How do we get it to see our printers like
> > all the other applications in our KDE setup do? We are running Lenny +
> > backports.  Thanks - John
> > 
> 
> Semi-OT from your question, but v8.1.7 is *really* old.  Make that 
> really *REALLY* old.  If you're running Stable and that's what's in 
> the Stable repos, then remove it an go directly to adobe to get the 
> latest version.

I thought about doing that but it looks like the only deb is a 32 bit
one and we are running 64 bit :(


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/1271339566.4177.19.camel@Family.pacifera.com"
00005.eml,"- - - - - original message - - - - -
from : angie . buis @ enron . com [ mailto : angie . buis @ enron . com ]
sent : tuesday , february 29 , 2000 9 : 35 am
to : heather . choate @ enron . com ; marvia . jefferson @ enron . com ;
lisa . shoemake @ enron . com
cc : kathleen . kelley @ enron . com ; bill . d . hare @ enron . com ;
george . smith @ enron . com ; edward . terry @ enron . com ;
lisa . b . cousino @ enron . com ; mam @ teamlead . com ; erw @ teamlead . com ;
kimberly . perkins @ enron . com
subject : coaching sessions with mike mauldin
i regret to inform you that this week ' s coaching sessions with mike mauldin
have been cancelled . mike has asked that we keep the recurring schedules
in place beginning with next week ( march 6 ) ."
00006.eml,"J> An example: Being able to model RF propagation in three
    J> dimensions for a metro area when deploying wireless networks.
    J> By having every single tree and building detail and similar,
    J> you can ""see"" even tiny dead spots due to physical blockage and
    J> signal attenuation.  

Hmmm, just as I thought.  In other words, it has no practical uses
whatsoever ;) ... do the biz guys in your office /really/ think WISPs
are really going to shell out /their/ money to find a house or two
they can't reach?  Experience suggests (a) they won't care and (b)
they will even sign up that errant house and then give them a
run-around blaming the dead-spot on ""unsupported vendor equipment"".

Thus, yes, it is 'cool': Expensive toy with no apparent function ;)

-- 
Gary Lawrence Murphy  TeleDynamics Communications Inc
 Business Advantage through Community Software : http://www.teledyn.com
""Computers are useless.  They can only give you answers.""(Pablo Picasso)"
00007.eml,"the meters listed in the attached email will be shut - in in order to pig the
baytown 12 "" . the meters will be shut - in early on the morning of august 15 ,
and remain shut - in for approximately five to ten days .
if you have any questions please call me 36449 .
thanks
gary hanks
mgr gas control
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 08 / 01 / 2000 10 : 44
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
mike vollmering @ enron
08 / 01 / 2000 08 : 59 am
to : gary a hanks / hou / ect @ ect , jill t zivley / hou / ect @ ect
cc : james mckay / hou / ect @ ect , pat flavin / gco / enron @ enron , liberty team
hpl / gco / enron @ enron
subject : baytown 12 ' '
the columbus energy wiggins # 1 ( 989634 ) will be effected by the pigging
project . the tap valve is installed in the mlv bypass and the bypass will be
removed to blow down the line .
here is a list of all the producers that will be effected .
columbus energy - - - - - - - - wiggins # 1 ( 989634 ) and fig orchard ( 986764 )
sanchez o mike"
00008.eml,"> Recently I have been receiving Spam where both the From: and To: address are
> set to my address therefore getting thru due to AWL.  Any suggestions on
> this one?  I could turn off AWL but it does have advantages.  BTW, I use a
> site-wide AWL.

 Use cron to remove your address from the AWL daily...?!

	/Tony
-- 
# Per scientiam ad libertatem! // Through knowledge towards freedom! #
# Genom kunskap mot frihet! =*= (c) 1999-2002 tony@svanstrom.com =*= #

     perl -e'print$_{$_} for sort%_=`lynx -dump svanstrom.com/t`'



-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1;=vs3390
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk"
00009.eml,">     Date:        Fri, 13 Sep 2002 11:26:30 +1000
>     From:        Tony Nugent 

>   | I can cut'n'paste from exmh's message display window into spawned
>   | gvim processes, but not into anything else.
> 
> That's odd.  I cut & paste between all kinds of windows (exmh into

Not so odd, this issue came up several weeks ago (with no real
resolution).

> mozilla, xterm, another wish script of mine I use for DNS tasks (but
> that one I guess is to be expected) netscape (when I used to use it,
> but I suppose it and mozilla are the same codebase, approx) - in fact
> I can't thing of anything it fails for, that I have noticed.
> 
> What is an example of an ""anything else"" that it fails for for you?

Everything else :)  I can't even mark text in an exmh message window
and then paste it into a terminal window, the cut buffer seems to be
completely empty (and its previous contents are no longer there
either).

> kre

  BTW: talking of spring downunder... I'm in Queensland.  It almost
  feels like early summer already (winters here are dry and warm,
  much better than cold wet miserable Melbourne :-)  Despite some
  recent rain (first in months), we are already into a drought, with
  an El-Nino on the way it is only going to get worse...  (the last
  one in the 90s caused one of the worst droughts ever seen here in
  aussie).

Cheers
Tony



_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users"
